Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
b'Royals',b'Mum Indians',b'Royals',b'7 wickets',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829721.html'
b'Kings XI',b'Daredevils',b'Daredevils',b'5 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829725.html'
b'Sunrisers',b'Royals',b'Royals',b'6 wickets',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829727.html'
b'Mum Indians',b'Super Kings',b'Super Kings',b'6 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829729.html'
b'Sunrisers',b'Daredevils',b'Daredevils',b'4 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829731.html'
b'Kings XI',b'KKR',b'KKR',b'4 wickets',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829733.html'
b'Royals',b'Super Kings',b'Royals',b'8 wickets',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829735.html'
b'RCB',b'Mum Indians',b'Mum Indians',b'18 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829737.html'
b'Daredevils',b'KKR',b'KKR',b'6 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829739.html'
b'Royals',b'Kings XI',b'tied',b'',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829741.html'
b'Sunrisers',b'KKR',b'Sunrisers',b'16 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829743.html'
b'RCB',b'Super Kings',b'Super Kings',b'27 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829745.html'
b'Daredevils',b'Mum Indians',b'Daredevils',b'37 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829747.html'
b'Royals',b'RCB',b'RCB',b'9 wickets',b'Ahmedabad',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829749.html'
b'Mum Indians',b'Sunrisers',b'Mum Indians',b'20 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829751.html'
b'Super Kings',b'Kings XI',b'Super Kings',b'97 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829753.html'
b'KKR',b'Royals',b'abandoned',b'',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829755.html'
b'Daredevils',b'RCB',b'RCB',b'10 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829757.html'
b'Kings XI',b'Sunrisers',b'Sunrisers',b'20 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829759.html'
b'Super Kings',b'KKR',b'Super Kings',b'2 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829765.html'
b'RCB',b'Royals',b'no result',b'',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829763.html'
b'KKR',b'Super Kings',b'KKR',b'7 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829723.html'
b'Daredevils',b'Kings XI',b'Daredevils',b'9 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829767.html'
b'Mum Indians',b'Royals',b'Mum Indians',b'8 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829769.html'
b'RCB',b'KKR',b'RCB',b'7 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829771.html'
b'Sunrisers',b'Super Kings',b'Sunrisers',b'22 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829773.html'
b'Kings XI',b'Mum Indians',b'Mum Indians',b'23 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829775.html'
b'Royals',b'Daredevils',b'Royals',b'14 runs',b'Mumbai (BS)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829777.html'
b'Super Kings',b'RCB',b'Super Kings',b'24 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829779.html'
b'KKR',b'Sunrisers',b'KKR',b'35 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829781.html'
b'Mum Indians',b'Daredevils',b'Mum Indians',b'5 wickets',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829783.html'
b'RCB',b'Kings XI',b'RCB',b'138 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829785.html'
b'Royals',b'Sunrisers',b'Sunrisers',b'7 runs',b'Mumbai (BS)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829787.html'
b'KKR',b'Daredevils',b'KKR',b'13 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829761.html'
b'Super Kings',b'Mum Indians',b'Mum Indians',b'6 wickets',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829789.html'
b'KKR',b'Kings XI',b'KKR',b'1 wicket',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829791.html'
b'Daredevils',b'Sunrisers',b'Sunrisers',b'6 runs',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829793.html'
b'Mum Indians',b'RCB',b'RCB',b'39 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829795.html'
b'Super Kings',b'Royals',b'Super Kings',b'12 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829797.html'
b'Sunrisers',b'Kings XI',b'Sunrisers',b'5 runs',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829799.html'
b'Daredevils',b'Super Kings',b'Daredevils',b'6 wickets',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829801.html'
b'Kings XI',b'RCB',b'Kings XI',b'22 runs',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829803.html'
b'Mum Indians',b'KKR',b'Mum Indians',b'5 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829805.html'
b'Sunrisers',b'RCB',b'RCB',b'6 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829807.html'
b'Kings XI',b'Super Kings',b'Super Kings',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829809.html'
b'Royals',b'KKR',b'Royals',b'9 runs',b'Mumbai (BS)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829811.html'
b'RCB',b'Daredevils',b'no result',b'',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829813.html'
b'Sunrisers',b'Mum Indians',b'Mum Indians',b'9 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829815.html'
b'Super Kings',b'Mum Indians',b'Mum Indians',b'25 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829817.html'
b'RCB',b'Royals',b'RCB',b'71 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829819.html'
b'Super Kings',b'RCB',b'Super Kings',b'3 wickets',b'Ranchi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829821.html'
